id	start	end	sentno	parno	sentbounds	mentions	speakermention	addresseemention	speakercluster	addresseecluster	text
59	5562	5695	357	52	0	1219,1220,1221,1222,1223,1224,1225,1226,1227,1228,1229,1230,1231,1232,1233,1234,1235,1236,1237,1238,1239,1240,1241,1242,1243,1244,1245,1246,1247,1248,1249,1250,1251,1252,1253	-	-	-	-	" En zoo blijven ze mekaar roepen . Voor God is 't een spelletje , die is oneindig en overal . Hij roept maar . Maar Bavink heeft maar éen dom hoofd en één domme rechterhand en kan maar aan één schilderijtje te gelijk werken . En als -ie denkt dat -ie God heeft dan heeft -ie linnen en verf . Dan is God overal , behalve waar Bavink 'm hebben wil . En dan komt er een vent en schrijft dat Bavink gebenedijd is . En Hoyer leert dat uit z'n hoofd en loopt er over te zwetsen tegen Bekker . Zeg wel gebenedijd . Weet je wat ik wou ? Dat ik spoorwegboekjes kon maken . Zoo'n vent laat God met vrede , die is 'm de moeite niet waard . "
60	7882	7886	472	78	0		-	-	-	-	" heel lief . "
61	8209	8216	489	79	0	1827,1828	-	-	-	-	" Dit is zeker 't privaat ? "
62	8240	8247	491	79	0	1835	1834	-	32	-	" Nee , dat is een kast "
63	8260	8268	492	79	0	1839	1838	-	32	-	" Pardon , dat is een kast . "
64	8414	8416	502	79	0	1872	-	-	-	-	" mevrouw "
65	8485	8487	505	79	0	1887	-	-	-	-	" Arti "
66	8563	8597	512	81	1	1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914	-	-	-	-	" Hij loopt nu met een uniformpet op met drie kruisjes en G. G. boven z'n voorhoofd en een boekje onder z'n arm . En een vent bij 'm met een zwarte zak . "
67	8817	8833	526	81	0	1967,1968,1969,1970,1971	-	1969	-	290	" Je zult me excuseeren , Koekebakker , om elf uur heb ik een conferentie . "
68	8891	8899	533	84	0	1985,1986,1987	-	1985	-	6	" P. Bekker , Agentuur en Commissiehandel . "
69	8930	8937	537	84	1	1993,1994,1995	1990	-	3	-	" Is m'nheer Bekker op kantoor ? "
70	8974	8978	539	84	0	2003	2002	-	3	-	" Hallo Bekker ! "
71	8979	8985	540	84	1	2004,2005	2002	-	3	-	" Is mijnheer op kantoor ? "
72	9002	9011	543	84	1	2009	-	-	-	-	" Wie kan ik zeggen dat er is ? "
73	9012	9015	544	84	1	2010	-	-	-	-	" Koekebakker . "
74	9016	9023	545	84	1	2011,2012	-	-	-	-	" Wilt u mij maar volgen ? "
75	9066	9068	548	84	0		-	-	-	-	" Monsterkamer "
76	9071	9078	549	84	0	2023,2024,2025	2026	-	3	-	" Moet ik hier zijn vriend ? "
77	9097	9107	551	84	1		2029	-	2024	-	" Dat staat er nog van vroeger , mijnheer . "
78	9116	9118	553	85	0		-	2029	-	2024	" Ja "
79	9322	9331	564	87	1	2085,2086	2084	2099	3	6	" Per me si va nella città dolente . "
80	9396	9415	573	88	1	2101,2102,2103,2104	2099	2084	6	3	" Je begrijpt - kerel wat zie je d'r toch goed uit . Kom je nu van Algiers ? "
81	9428	9446	577	88	1	2108,2109,2110	2106	-	3	-	" Waar logeer je , als 't kan , kom ik vanavond om 9 uur bij je . "
82	9490	9500	580	88	1	2120,2121	2119	-	3	-	" Ik hoop dat je 't dan beter treft . "
83	9546	9553	585	89	0	2133	-	2119	-	3	" P. Bekker , Agentuur en commissiehandel "
84	9599	9611	588	91	1	2147,2148	2144	-	1	-	" Per me si va tra la perduta gente , Koekebakker . "
85	9627	9637	590	91	1	2156,2157	2149	-	6	-	" Zeg eens , als je geld noodig hebt ? "
86	9800	9803	605	95	0	2188	-	-	-	-	" Het Volk "
87	9876	9884	612	95	0	2206,2207	-	-	-	-	" wat -ie voor die smoessies kocht . "
88	9891	9901	613	95	0	2210	-	-	-	-	" Wij sociaal democraten weten maar al te goed - "
89	9917	9922	614	96	0		-	-	-	-	" nou wordt 't interessant "
90	9934	9936	615	96	0	2216	2217	-	32	-	" Polen "
91	9943	9946	615	96	0	2218	2217	-	32	-	" proletarisch sentiment "
92	9948	9952	615	96	0	2219	2217	-	32	-	" burgerlijke ideologieën . "
93	9967	9980	617	96	0	2224	2222	-	3	-	" 't Is toch mooi dat je alles zoo zeker weten kunt . "
94	10468	10475	649	99	0		-	-	-	-	" een geestelijk leven geleid heeft . "
95	10510	10512	652	100	0	2340	-	2356	-	32	" Odol "
96	10614	10625	657	101	0	2357,2358,2359	2356	-	32	-	" 't Chronische tekort in 't huishouden van den werkman , "
97	10739	10742	667	104	0		-	-	-	-	" Godverdomde dingen "
98	10757	10765	668	104	0		-	-	-	-	" dan moet 't ook maar gebeuren , "
99	11140	11148	693	108	1	2482,2483,2484	2479	2484	1	290	" Zie je die zon , Koekebakker ? "
100	11214	11222	696	108	1	2499,2500	2492	-	290	-	" Je denkt dat ik dronken ben ? "
101	11228	11249	698	108	1	2502,2503,2504	2501	2502	3	290	" Het maakt geen verschil , Koekebakker , als ik nuchter ben , begrijp ik er toch ook niks van . "
102	11250	11286	699	109	1	2505,2506,2507,2508,2509,2510,2511,2512	2502	2501	290	3	" Begrijp jij wat die zon van mij wil ? Vier en dertig ondergaande zonnen heb ik tegen de muur staan , achter elkaar , omgekeerd . En toch staat -ie daar weer iederen avond . "
103	11287	11294	702	110	0		2513	2502	3	290	" Als er geen wolken zijn , "
104	11305	11324	704	110	1	2516,2517,2518,2519,2520,2521	2514	2529	2455	3	" Koekebakker jij bent altijd mijn beste vrind geweest . Ik ken jou al - hoe lang al ? "
105	11325	11331	706	111	1	2522	2529	2514	3	2455	" Omtrent dertien jaar Bavink . "
106	11332	11357	707	111	1	2523,2524,2525,2526,2527,2528	2529	-	3	-	" Dertien jaar . Dat is lang . Weet je wat jij doen moet ? Doe me een lol . Heb je een hoedendoos ? "
107	11361	11397	713	112	1	2530,2531,2532,2533,2534,2535,2536,2537,2538,2539	-	2532	-	290	" Doe 'm in een hoedendoos , Koekebakker . In een hoedendoos . Ik wil met vrede gelaten worden . Doe 'm in een hoedendoos , in een ordinaire hoedendoos . Hij verdient niet beter . "
108	11428	11446	721	114	1	2549,2550,2551,2552,2553	-	-	-	-	" Ik geloof mijnheer , dat u beter doet , als u dezen heer naar huis brengt . "
109	11544	11562	731	117	1	2582,2583,2584,2585,2586	2587	-	32	-	" Hij kijkt me maar aan , wij begrijpen geen van beiden wat we van elkaar moeten . "
110	11729	11776	745	119	0	2632,2633,2634,2635,2636,2637,2638,2639,2640,2641,2642,2643,2644	-	-	-	-	" Goed zoo jongens , zoo mal als je bent , ben je me toch liever dan die mooie wijze heeren . 't Spijt me dat je je nek moet breken en dat ik die heeren moet laten gedijen , maar ik ben ook God maar . "
