id	start	end	type	head	neclass	person	quote	gender	human	number	cluster	text
248	1045	1045	pronoun	1045	-	1	I	fm	1	sg	248	mij
249	1047	1048	noun	1048	-	-	I	n	0	sg	249	het kluwen
250	1055	1055	pronoun	1055	-	1	O	fm	1	sg	33	mij
251	1056	1057	noun	1057	-	-	O	n	0	sg	87	een werk
252	1058	1058	pronoun	1058	-	3	O	n	0	sg	87	dat
253	1059	1059	pronoun	1059	-	1	O	fm	1	sg	33	ik
254	1064	1065	noun	1065	-	-	O	n	0	sg	254	het doel
255	1067	1067	pronoun	1067	-	3	O	m	1	sg	238	hem
256	1068	1068	noun	1068	-	-	O	n	0	sg	129	genoegen
257	1074	1074	pronoun	1074	-	3	O	m	1	sg	238	hem
258	1081	1081	pronoun	1081	-	1	O	fm	1	sg	33	ik
259	1084	1084	pronoun	1084	-	1	O	fm	1	sg	33	ik
260	1088	1089	noun	1089	-	-	O	n	0	sg	260	zijn egoïsme
261	1088	1088	pronoun	1088	-	3	O	n	0	sg	129	zijn
262	1092	1092	pronoun	1092	-	3	O	m	1	sg	238	hij
263	1101	1102	noun	1102	-	-	O	n	0	sg	263	mijn vlugschrift
264	1101	1101	pronoun	1101	-	1	O	fm	1	sg	33	mijn
265	1104	1106	noun	1106	-	-	O	n	0	pl	265	zijne bizondere werkzaamheden
266	1104	1104	pronoun	1104	-	3	O	m	1	sg	238	zijne
267	1112	1112	pronoun	1112	-	1	O	fm	1	sg	33	Ik
268	1118	1118	pronoun	1118	-	1	O	fm	1	sg	33	ik
269	1120	1120	pronoun	1120	-	3	O	m	1	sg	238	hem
270	1122	1122	name	1122	LOC	-	O	n	0	both	270	Baker-Street
271	1132	1139	noun	1136	-	-	O	n	0	sg	271	het kalm en meesterachtig uiterlijk van mijn metgezel
272	1138	1139	noun	1139	-	-	O	fm	1	sg	53	mijn metgezel
273	1138	1138	pronoun	1138	-	1	O	fm	1	sg	33	mijn
274	1147	1147	pronoun	1147	-	1	O	fm	1	sg	33	Ik
275	1156	1158	noun	1158	-	-	O	n	0	sg	275	mijn gewond been
276	1156	1156	pronoun	1156	-	1	O	fm	1	sg	33	mijn
277	1162	1162	pronoun	1162	-	1	O	fm	1	sg	33	Ik
278	1168	1169	noun	1169	-	-	O	n	0	sg	278	een kogel
279	1175	1175	pronoun	1175	-	1	O	fm	1	sg	33	ik
280	1185	1186	noun	1186	-	-	O	n	0	sg	280	pijnlijke wijze
281	1195	1196	noun	1196	-	-	I	n	0	sg	281	mijn practijk
282	1195	1195	pronoun	1195	-	1	I	m	1	sg	3	mijn
283	1197	1197	pronoun	1197	-	3	I	n	0	sg	281	zich
284	1201	1202	noun	1202	-	-	I	n	0	sg	284	het Vasteland
285	1206	1206	name	1206	PER	-	O	m	1	sg	3	Holmes
286	1212	1212	pronoun	1212	-	3	O	m	1	sg	3	hij
287	1213	1217	noun	1215	-	-	O	n	0	sg	287	zijn oude pijp van rozeboomenhout
288	1213	1213	pronoun	1213	-	3	O	m	1	sg	3	zijn
289	1217	1217	noun	1217	-	-	O	-	-	sg	289	rozeboomenhout
290	1221	1221	pronoun	1221	-	1	I	m	1	sg	3	ik
291	1230	1232	name	1232	PER	-	I	m	1	sg	291	François le Villard
292	1234	1234	pronoun	1234	-	-	I	-	-	sg	292	die
293	1236	1236	pronoun	1236	-	2	I	fm	1	sg	293	je
294	1246	1247	noun	1247	-	-	I	n	0	sg	294	den voorgrond
295	1251	1255	noun	1251	-	-	I	fm	1	sg	295	dienst van de Fransche detectiven
296	1253	1255	noun	1255	-	-	I	m	1	sg	296	de Fransche detectiven
297	1257	1257	pronoun	1257	-	3	I	m	1	sg	296	Hij
298	1260	1265	noun	1262	-	-	I	n	0	sg	298	de Celtische kracht van snelle waarneming
299	1264	1265	noun	1265	-	-	I	-	-	sg	299	snelle waarneming
300	1268	1268	pronoun	1268	-	3	I	m	1	sg	296	hij
301	1273	1281	noun	1275	-	-	I	n	0	sg	301	de juiste beoordeeling der feiten en de algemeene kennis
302	1276	1277	noun	1277	-	-	I	n	0	pl	241	der feiten
303	1279	1281	noun	1281	-	-	I	f	1	sg	1	de algemeene kennis
304	1282	1282	pronoun	1282	-	-	I	n	0	sg	301	die
305	1286	1291	noun	1288	-	-	I	n	0	sg	305	de hoogere ontwikkeling van zijn kunst
306	1290	1291	noun	1291	-	-	I	n	0	sg	306	zijn kunst
307	1290	1290	pronoun	1290	-	3	I	m	1	sg	296	zijn
308	1293	1294	noun	1294	-	-	I	n	0	sg	211	Het geval
309	1299	1300	noun	1300	-	-	I	n	0	sg	309	een testament
310	1306	1306	pronoun	1306	-	1	I	fm	1	sg	3	Ik
311	1310	1310	pronoun	1310	-	3	I	m	1	sg	296	hem
312	1317	1319	noun	1319	-	-	I	n	0	pl	312	twee gelijksoortige gevallen
313	1321	1326	noun	1322	-	-	I	n	0	sg	313	het een te Riga in 1857
314	1324	1326	name	1324	LOC	-	I	n	0	sg	314	Riga in 1857
315	1328	1332	noun	1329	-	-	I	n	0	sg	315	het ander te St. Louis
316	1331	1332	name	1332	LOC	-	I	m	1	sg	316	St. Louis
317	1337	1337	pronoun	1337	-	3	I	m	1	sg	296	hij
318	1339	1341	noun	1341	-	-	I	-	-	sg	318	de juiste oplossing
319	1347	1353	noun	1348	-	-	I	m	1	sg	319	de brief van dankbetuiging voor mijne hulp
320	1350	1353	noun	1350	-	-	I	n	0	sg	320	dankbetuiging voor mijne hulp
321	1352	1353	noun	1353	-	-	I	n	0	sg	321	mijne hulp
322	1352	1352	pronoun	1352	-	1	I	fm	1	sg	3	mijne
323	1355	1355	pronoun	1355	-	-	I	-	-	sg	319	dien
324	1356	1356	pronoun	1356	-	1	I	fm	1	sg	3	ik
325	1362	1362	pronoun	1362	-	3	O	m	1	sg	319	hij
326	1363	1363	pronoun	1363	-	3	O	n	0	sg	321	dit
327	1367	1367	pronoun	1367	-	3	O	m	1	sg	319	hij
328	1368	1368	pronoun	1368	-	1	O	fm	1	sg	33	mij
329	1369	1373	noun	1371	-	-	O	n	0	sg	329	een verfrommeld vel buitenlandsch papier
330	1376	1376	pronoun	1376	-	1	O	fm	1	sg	33	Ik
331	1379	1381	noun	1381	-	-	O	n	0	sg	331	een haastigen blik
332	1385	1385	pronoun	1385	-	1	O	fm	1	sg	33	ik
333	1388	1394	noun	1388	-	-	O	n	0	pl	333	betuigingen van bewondering van den Franschman voor
334	1390	1394	noun	1390	-	-	O	n	0	sg	334	bewondering van den Franschman voor
335	1392	1394	name	1393	-	-	O	m	1	sg	335	den Franschman voor
336	1396	1399	name	1399	PER	-	I	m	1	sg	3	den eenigen Sherlock Holmes
337	1404	1404	pronoun	1404	-	3	I	m	1	sg	3	Hij
338	1407	1408	noun	1408	-	-	I	fm	1	sg	338	een leerling
339	1410	1411	noun	1411	-	-	I	m	1	sg	339	zijn meester
340	1410	1410	pronoun	1410	-	3	I	m	1	sg	3	zijn
341	1415	1415	pronoun	1415	-	1	O	fm	1	sg	33	ik
342	1420	1420	pronoun	1420	-	3	I	m	1	sg	339	hij
343	1422	1423	noun	1423	-	-	I	n	0	sg	343	mijn hulp
344	1422	1422	pronoun	1422	-	1	I	m	1	sg	3	mijn
345	1429	1430	name	1430	PER	-	O	m	1	sg	3	Sherlock Holmes
346	1433	1433	pronoun	1433	-	3	I	m	1	sg	339	hij
347	1436	1437	noun	1437	-	-	I	n	0	pl	131	groote gaven
348	1439	1439	pronoun	1439	-	3	I	m	1	sg	339	Hij
349	1441	1452	noun	1441	-	-	I	n	0	-	349	twee van de drie eigenschappen die voor den werkelijken detective vereischt worden
350	1443	1445	noun	1445	-	-	I	n	0	pl	65	de drie eigenschappen
351	1446	1446	pronoun	1446	-	-	I	n	0	pl	65	die
352	1448	1450	noun	1450	-	-	I	fm	1	sg	352	den werkelijken detective
353	1454	1454	pronoun	1454	-	3	I	m	1	sg	339	Hij
354	1457	1457	noun	1457	-	-	I	-	-	sg	354	opmerkingsen
355	1458	1458	noun	1458	-	-	I	n	0	sg	355	onthullings-vermogen
356	1462	1462	pronoun	1462	-	3	I	m	1	sg	339	hem
357	1465	1465	noun	1465	-	-	I	f	1	sg	1	kennis
358	1467	1467	pronoun	1467	-	3	I	f	1	sg	1	die
359	1469	1469	pronoun	1469	-	3	I	m	1	sg	339	hij
360	1473	1473	pronoun	1473	-	3	I	m	1	sg	339	Hij
361	1477	1479	noun	1479	-	-	I	n	0	pl	361	mijne kleine werken
362	1477	1477	pronoun	1477	-	1	I	m	1	sg	3	mijne
363	1481	1482	name	1482	-	-	I	m	1	sg	363	het Fransch
364	1488	1489	noun	1489	-	-	I	n	0	pl	364	Uwe werken
365	1488	1488	pronoun	1488	-	2	I	fm	1	both	365	Uwe
366	1496	1496	pronoun	1496	-	2	I	fm	1	sg	366	gij
367	1502	1502	pronoun	1502	-	3	O	m	1	sg	339	hij
368	1508	1508	pronoun	1508	-	1	I	m	1	sg	339	ik
369	1510	1510	pronoun	1510	-	1	I	fm	1	sg	339	mij
370	1512	1513	noun	1513	-	-	I	n	0	pl	370	verscheiden handschriften
371	1517	1517	pronoun	1517	-	3	I	fm	1	pl	371	Zij
372	1521	1522	noun	1522	-	-	I	n	0	pl	372	technische onderwerpen
373	1533	1541	noun	1534	-	-	O	n	0	sg	373	het onderscheid tusschen de asch van verschillende soorten tabak
374	1536	1541	noun	1537	-	-	O	n	0	sg	374	de asch van verschillende soorten tabak
375	1539	1541	noun	1540	-	-	O	n	0	pl	375	verschillende soorten tabak
376	1546	1546	pronoun	1546	-	1	I	fm	1	sg	376	ik
377	1547	1552	noun	1550	-	-	I	n	0	pl	377	een honderd veertig soorten van sigaren
378	1552	1552	noun	1552	-	-	I	n	0	pl	378	sigaren
379	1554	1554	name	1554	-	-	I	-	-	-	379	cigaretten-
380	1556	1556	noun	1556	-	-	I	n	0	sg	380	pijp-tabak
381	1559	1560	noun	1560	-	-	I	n	0	pl	381	gekleurde platen
382	1561	1561	pronoun	1561	-	-	I	n	0	pl	381	die
383	1562	1566	noun	1563	-	-	I	n	0	sg	383	het verschil van asch ervan
384	1565	1566	noun	1565	-	-	I	n	0	sg	384	asch ervan
385	1569	1569	pronoun	1569	-	3	I	n	0	sg	383	Het
386	1571	1572	noun	1572	-	-	I	n	0	sg	28	een punt
387	1573	1573	pronoun	1573	-	3	I	n	0	sg	387	dat
388	1576	1576	noun	1576	-	-	I	n	0	pl	388	straf-processen
389	1579	1579	pronoun	1579	-	3	I	n	0	sg	389	dat
390	1583	1583	noun	1583	-	-	O	n	0	sg	390	sleutel
391	1586	1588	noun	1588	-	-	I	n	0	sg	391	het grootste belang
392	1592	1592	pronoun	1592	-	2	I	fm	1	sg	392	gij
393	1599	1603	noun	1603	-	-	I	n	0	sg	393	de een of andere moord
394	1607	1608	noun	1608	-	-	I	m	1	sg	104	een man
395	1610	1610	pronoun	1610	-	-	I	m	1	sg	104	die
